    EventNumber         parName  parEnergy (MeV)        parWeight       pos_x (cm)       pos_y (cm)       pos_z (cm)               ux               uy               uz
           5873         neutron          1.50189       0.00103602        -0.769665          0.71322         0.502191         0.335731        -0.911918        -0.235989
           5974         neutron          2.76804       0.00100382        -0.318986         -1.26297         0.500226        -0.387738        -0.801609         0.455064
           6126         neutron          5.46273       0.00100095         0.913248         0.392492         0.500056            0.654         0.171529         0.736792
           6138         neutron          3.75195       0.00102339         0.308727         0.527765         0.501372       -0.0705808         0.997297       -0.0204236
           6175         neutron         0.401768       0.00104276        -0.144879        -0.262516         0.502917         -0.92073         -0.28717         0.264176
           6224         neutron          3.22506       0.00101279          0.46746        -0.233888         0.500754        -0.078614        -0.543562        -0.835679
           6235         neutron         0.614968       0.00102405        -0.331522         -1.05265          0.50141         0.607009       -0.0451067        -0.793413
           6280         neutron          0.53109       0.00103201       -0.0813664         -0.54673          0.50187        -0.221645         0.465662        -0.856757
           6281         neutron          4.01529       0.00100381        -0.364079          1.53398         0.500226        -0.117959         0.269337         0.955795
           6298         neutron          1.78124       0.00102243         -1.46819        -0.057393         0.501316        -0.822242        -0.523812         0.222572
           6467         neutron          1.09156       0.00101028         0.271948         0.216612         0.500607         0.845122        -0.366452        -0.389206
           6505         neutron          1.34544       0.00103896        -0.239678         0.645541         0.502509        -0.423592        -0.565396         0.707741
           6553         neutron         0.656144       0.00100098         0.470189        -0.536957         0.500058        -0.699777         0.707014         0.102194
           6618         neutron         0.844218        0.0010118        -0.852463        -0.270354         0.500696        0.0639859        -0.542131         0.837854
           6649         neutron          1.68277       0.00100583        -0.530885         0.819893         0.500345        -0.463945         0.738811         0.488788
           6690         neutron         0.780929       0.00100064        0.0312504         -1.02704         0.500038       -0.0302233         0.784354         0.619577
           6713         neutron          2.72576       0.00101004        -0.642463        -0.510054         0.500593        -0.328247        -0.363083        -0.872023
           6720         neutron          1.77154       0.00103392         0.417934        -0.350496         0.501979         0.766273         0.528179         0.365858
           6729         neutron          3.83222       0.00101414           1.0935        -0.242372         0.500834         0.964341        -0.264124        0.0169046
